UDS100-Channel(X)	UDS100-Channel(Y)
0	0.272365
1	0.2722613
2	0.2722674
3	0.2723955
4	0.2724443
5	0.272426
6	0.2722064
7	0.2722857
8	0.2723101
9	0.272426
10	0.2722308
11	0.2722674
12	0.2722735
13	0.2722674
14	0.272304
15	0.272243
16	0.2724504
17	0.2723467
18	0.2723955
19	0.2722857
20	0.2722125
21	0.2721576
22	0.2722247
23	0.2722186
24	0.2723589
25	0.2723284
26	0.2722735
27	0.272182
28	0.2722613
29	0.2722918
30	0.2721332
31	0.2722674
32	0.2721759
33	0.2723894
34	0.2722979
35	0.2723284
36	0.2722796
37	0.2721942
38	0.2722796
39	0.2720722
40	0.2722979
41	0.2724626
42	0.2722552
43	0.2722918
44	0.2722247
45	0.2721881
46	0.2722552
47	0.2723589
48	0.272426
49	0.2722552
50	0.2721515
51	0.2721149
52	0.2723833
53	0.2723467
54	0.2721759
55	0.2722918
56	0.2723406
57	0.2722552
58	0.2723467
59	0.2724199
60	0.2722308
61	0.2723894
62	0.2722247
63	0.2722491
64	0.272121
65	0.2721942
66	0.2723284
67	0.2722552
68	0.2724382
69	0.2719502
70	0.2721759
71	0.272121
72	0.272121
73	0.2721393
74	0.272182
75	0.2723284
76	0.2721698
77	0.272487
78	0.2723589
79	0.27206
80	0.2722064
81	0.272304
82	0.2722247
83	0.272182
84	0.2722369
85	0.272304
86	0.2722918
87	0.2722918
88	0.2722186
89	0.2720356
90	0.2722003
91	0.2722613
92	0.2722796
93	0.2724443
94	0.2723528
95	0.2722918
96	0.2721698
97	0.2719868
98	0.2722064
99	0.2721149
