%Sensibilité du détecteur ancien Si PIN-UV-100  UDT  (A/W)	
%l (nm)	S (A/W)
400	0.170
410	0.182
420	0.194
430	0.205
440	0.217
450	0.229
460	0.241
470	0.253
480	0.265
490	0.277
500	0.289
510	0.301
520	0.313
530	0.325
540	0.337
550	0.348
560	0.359
570	0.370
580	0.381
590	0.391
600	0.401
610	0.411
620	0.420
630	0.429
640	0.438
650	0.446
660	0.453
670	0.461
680	0.468
690	0.475
700	0.481
710	0.487
720	0.493
730	0.498
740	0.502
750	0.506
760	0.510
770	0.512
780	0.515
790	0.517
800	0.518
810	0.518
820	0.518
830	0.517
840	0.515
850	0.512
860	0.508
870	0.502
880	0.496
890	0.487
900	0.477
910	0.466
920	0.452
930	0.436
940	0.417
950	0.396
960	0.373
970	0.348
980	0.321
990	0.292
1000	0.263
1010	0.234
1020	0.206
1030	0.180
1040	0.158
1050	0.135
1060	0.116
1070	0.099
1080	0.086
1090	0.074
1100	0.064
